index,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Hourly,Employer provided,Lower Salary,Upper Salary,Avg Salary(K),company_txt,Job Location,Age,Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,job_title_sim,seniority_by_title,Degree
10,Data Scientist,$126K-$201K (Glassdoor est.),At Wish- our Data Science & Engineering team is comprised of Data Scientists- Data Analysts & Data E...,3.5,Wish 3.5,San Jose- CA,San Francisco- CA,501 - 1000,2011,Company - Private,Other Retail Stores,Retail,$1 to $2 billion (USD),-1,0,0,126,201,163.5,Wish,CA,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
11,Data Scientist,$64K-$106K (Glassdoor est.),Secure our Nation- Ignite your Future Summary The successful candidate will possess a diverse rang...,4.1,ManTech 4.1,Chantilly- VA,Herndon- VA,5001 - 10000,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1,0,0,64,106,85.0,ManTech,VA,53,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,na,na
12,Staff Data Scientist - Technology,$106K-$172K (Glassdoor est.),Position Summary... Drives the execution of multiple business plans and projects by identifying cust...,3.2,Walmart 3.2,Plano- TX,Bentonville- AR,10000+,1962,Company - Public,Department- Clothing- & Shoe Stores,Retail,$10+ billion (USD),Target- Costco Wholesale- Amazon,0,0,106,172,139.0,Walmart,TX,59,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,na,M
13,Data Analyst,$46K-$85K (Glassdoor est.),Are you an experienced Data Analyst- skilled at providing actionable data and insights to clients? D...,4.1,Yesler 4.1,Seattle- WA,Seattle- WA,201 - 500,2012,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,0,0,46,85,65.5,Yesler,WA,9,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,analyst,na,na
14,Data Scientist,$83K-$144K (Glassdoor est.),Job Description Takeda is looking for a Data Scientist to join our Data Engineering and Artificial...,3.7,Takeda Pharmaceuticals 3.7,Cambridge- MA,OSAKA- Japan,10000+,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Novartis- Baxter- Pfizer,0,0,83,144,113.5,Takeda Pharmaceuticals,MA,240,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,data scientist,na,M
15,Data Engineer I,$102K-$190K (Glassdoor est.),This opportunity is within Audibles Data Engineering group. The Data Engineering group owns technolo...,3.6,Audible 3.6,Newark- NJ,Newark- NJ,1001 - 5000,1995,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,Unknown / Non-Applicable,-1,0,0,102,190,146.0,Audible,NJ,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data engineer,na,na
16,Scientist I/II- Biology,$67K-$137K (Glassdoor est.),Scientist I/II- Biology Cambridge- MA BIO20-901 At Blueprint Medicines- we are creating a bluepri...,3.9,Blueprint Medicines 3.9,Cambridge- MA,Cambridge- MA,51 - 200,2011,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),bluebird bio- Agios Pharmaceuticals- Celgene,0,0,67,137,102.0,Blueprint Medicines,MA,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,P
17,Customer Data Scientist,$118K-$189K (Glassdoor est.),Company Overview H2O.ai is the open source leader in AI with a mission to democratize AI for everyo...,4.3,h2o.ai 4.3,Mountain View- CA,Mountain View- CA,201 - 500,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,118,189,153.5,h2o.ai,CA,10,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,data scientist,na,M
18,Data Scientist - Health Data Analytics,$110K-$175K (Glassdoor est.),At Nuna- our mission is to make high-quality healthcare affordable for everyone. We are dedicated to...,4.2,Nuna 4.2,San Francisco- CA,San Francisco- CA,51 - 200,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,110,175,142.5,Nuna,CA,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
19,Data Scientist,$64K-$111K (Glassdoor est.),Pinnacol Assurance does just one thing- and does it better than anyone: provide caring workers' comp...,4.0,Pinnacol Assurance 4.0,Denver- CO,Denver- CO,501 - 1000,1915,Nonprofit Organization,Insurance Carriers,Insurance,$500 million to $1 billion (USD),-1,0,0,64,111,87.5,Pinnacol Assurance,CO,106,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,data scientist,na,M
